session_ts,restored,step,sim_time_sec,pos_x,pos_y,pos_z,yaw,body_vx,body_wz,lift_z,target_v,target_yaw,target_lift,phase
2026-02-23 12:20:40,0,530,0.529,-4.22737e-05,3.87216e-19,0.499662,-1.0668e-18,3.45827e-06,7.31e-18,-0.0898244,0,0,0,0
2026-02-23 12:20:40,0,540,0.539,-4.22453e-05,3.25371e-19,0.499662,-1.01205e-18,2.17828e-06,5.60731e-18,-0.0898228,0,0,0,0
2026-02-23 12:20:40,0,550,0.549,-4.22276e-05,2.91056e-19,0.499662,-9.55008e-19,1.33724e-06,3.24117e-18,-0.0898217,0,0,0,0
2026-02-23 12:20:40,0,560,0.559,-4.22168e-05,2.72631e-19,0.499662,-9.27034e-19,8.11134e-07,2.50334e-18,-0.0898209,0,0,0,0
2026-02-23 12:20:40,0,570,0.569,-4.22103e-05,2.73213e-19,0.499662,-9.17733e-19,4.95934e-07,3.88636e-20,-0.0898204,0,0,0,0
2026-02-23 12:20:40,0,580,0.579,-4.22062e-05,2.77157e-19,0.499662,-8.98639e-19,3.13413e-07,3.7746e-18,-0.08982,0,0,0,0
2026-02-23 12:20:40,0,590,0.589,-4.22036e-05,2.82409e-19,0.499662,-9.12212e-19,2.09509e-07,-1.87202e-18,-0.0898197,0,0,0,0
2026-02-23 12:20:40,0,600,0.599,-4.22018e-05,2.85166e-19,0.499662,-9.03783e-19,1.4955e-07,1.31972e-18,-0.0898195,0,0,0,0
2026-02-23 12:20:40,0,610,0.609,-4.22005e-05,2.84349e-19,0.499662,-8.92438e-19,1.12873e-07,1.55117e-18,-0.0898194,0,0,0,0
2026-02-23 12:20:40,0,620,0.619,-4.21995e-05,2.85046e-19,0.499662,-8.67025e-19,8.80924e-08,2.36468e-18,-0.0898193,0,0,0,0
2026-02-23 12:20:40,0,630,0.629,-4.21987e-05,2.85189e-19,0.499662,-8.57703e-19,6.94726e-08,2.27976e-18,-0.0898192,0,0,0,0
2026-02-23 12:20:40,0,640,0.639,-4.21981e-05,2.84627e-19,0.499662,-8.47078e-19,5.44218e-08,-3.86823e-19,-0.0898192,0,0,0,0
2026-02-23 12:20:40,0,650,0.649,-4.21976e-05,2.84966e-19,0.499662,-8.60631e-19,4.19094e-08,-1.55548e-18,-0.0898192,0,0,0,0
2026-02-23 12:20:40,0,660,0.659,-4.21972e-05,2.87984e-19,0.499662,-8.80047e-19,3.15604e-08,-1.0754e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,670,0.669,-4.21969e-05,2.9243e-19,0.499662,-8.63109e-19,2.31957e-08,1.16975e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,680,0.679,-4.21967e-05,3.006e-19,0.499662,-8.72223e-19,1.66395e-08,-3.6984e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,690,0.689,-4.21966e-05,3.09251e-19,0.499662,-8.82682e-19,1.16674e-08,9.60545e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,700,0.699,-4.21965e-05,3.14498e-19,0.499662,-8.65797e-19,8.0171e-09,5.1568e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,710,0.709,-4.21964e-05,3.20856e-19,0.499662,-8.3066e-19,5.41834e-09,6.71833e-21,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,720,0.719,-4.21964e-05,3.22692e-19,0.499662,-8.16737e-19,3.6193e-09,3.99215e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,730,0.729,-4.21963e-05,3.22535e-19,0.499662,-7.94347e-19,2.40401e-09,1.52274e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,740,0.739,-4.21963e-05,3.2256e-19,0.499662,-7.77327e-19,1.59916e-09,1.06292e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,750,0.749,-4.21963e-05,3.26263e-19,0.499662,-7.72273e-19,1.07331e-09,4.36264e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,760,0.759,-4.21963e-05,3.32112e-19,0.499662,-7.86255e-19,7.31641e-10,-1.96089e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,770,0.769,-4.21963e-05,3.41403e-19,0.499662,-7.81168e-19,5.08683e-10,9.25862e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,780,0.779,-4.21963e-05,3.51229e-19,0.499662,-7.59332e-19,3.61011e-10,1.23775e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,790,0.789,-4.21963e-05,3.59137e-19,0.499662,-7.34871e-19,2.60824e-10,4.25184e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,800,0.799,-4.21963e-05,3.60824e-19,0.499662,-7.15148e-19,1.90843e-10,1.78825e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,810,0.809,-4.21963e-05,3.62764e-19,0.499662,-7.19146e-19,1.40552e-10,-1.23915e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,820,0.819,-4.21963e-05,3.67257e-19,0.499662,-7.31424e-19,1.03588e-10,-1.5684e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,830,0.829,-4.21963e-05,3.69666e-19,0.499662,-7.44693e-19,7.60416e-11,2.14531e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,840,0.839,-4.21963e-05,3.65372e-19,0.499662,-7.4109e-19,5.54166e-11,-3.24691e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,850,0.849,-4.21963e-05,3.63654e-19,0.499662,-7.44085e-19,4.00166e-11,3.67676e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,860,0.859,-4.21963e-05,3.67963e-19,0.499662,-7.34742e-19,2.86154e-11,1.81816e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,870,0.869,-4.21963e-05,3.71391e-19,0.499662,-7.46158e-19,2.02664e-11,-9.37801e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,880,0.879,-4.21963e-05,3.75908e-19,0.499662,-7.83084e-19,1.42306e-11,-5.1071e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,890,0.889,-4.21963e-05,3.82271e-19,0.499662,-8.11603e-19,9.92445e-12,-4.12187e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,900,0.899,-4.21963e-05,3.81399e-19,0.499662,-8.23773e-19,6.88974e-12,9.19876e-19,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,910,0.909,-4.21963e-05,3.83637e-19,0.499662,-8.0377e-19,4.77356e-12,-1.50981e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,920,0.919,-4.21963e-05,3.80569e-19,0.499662,-8.02418e-19,3.30932e-12,-6.45523e-20,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,930,0.929,-4.21963e-05,3.75958e-19,0.499662,-7.87856e-19,2.30101e-12,5.0589e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,940,0.939,-4.21963e-05,3.66852e-19,0.499662,-7.36761e-19,1.60786e-12,1.18754e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,950,0.949,-4.21963e-05,3.55498e-19,0.499662,-6.99061e-19,1.13027e-12,4.68818e-18,-0.0898191,0,0,0,0
2026-02-23 12:20:40,0,960,0.959,-4.2142e-05,3.49422e-19,0.499662,-6.67709e-19,3.39344e-05,2.79136e-18,-0.0898187,-0,-0,0.0008,1
2026-02-23 12:20:40,0,970,0.969,-4.15204e-05,3.42892e-19,0.499662,-6.37468e-19,8.98742e-05,2.9824e-18,-0.0898155,-0,-0,0.0028,1
